Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Número de cigarrillos;Total
Ambos sexos;Total;;Total;100,00
Ambos sexos;Total;;Entre 01 y 09 unidades;27,16
Ambos sexos;Total;;Entre 10 y 19 unidades;33,79
Ambos sexos;Total;;20 o más unidades;39,06
Ambos sexos;Total;Andalucía;Total;100,00
Ambos sexos;Total;Andalucía;Entre 01 y 09 unidades;22,86
Ambos sexos;Total;Andalucía;Entre 10 y 19 unidades;35,18
Ambos sexos;Total;Andalucía;20 o más unidades;41,96
Ambos sexos;Total;Aragón;Total;100,00
Ambos sexos;Total;Aragón;Entre 01 y 09 unidades;26,95
Ambos sexos;Total;Aragón;Entre 10 y 19 unidades;29,52
Ambos sexos;Total;Aragón;20 o más unidades;43,53
Ambos sexos;Total;Asturias (Principado de);Total;100,00
Ambos sexos;Total;Asturias (Principado de);Entre 01 y 09 unidades;26,63
Ambos sexos;Total;Asturias (Principado de);Entre 10 y 19 unidades;33,50
Ambos sexos;Total;Asturias (Principado de);20 o más unidades;39,87
Ambos sexos;Total;Balears (Illes);Total;100,00
Ambos sexos;Total;Balears (Illes);Entre 01 y 09 unidades;33,63
Ambos sexos;Total;Balears (Illes);Entre 10 y 19 unidades;33,11
Ambos sexos;Total;Balears (Illes);20 o más unidades;33,26
Ambos sexos;Total;Canarias;Total;100,00
Ambos sexos;Total;Canarias;Entre 01 y 09 unidades;19,92
Ambos sexos;Total;Canarias;Entre 10 y 19 unidades;37,65
Ambos sexos;Total;Canarias;20 o más unidades;42,42
Ambos sexos;Total;Cantabria;Total;100,00
Ambos sexos;Total;Cantabria;Entre 01 y 09 unidades;21,23
Ambos sexos;Total;Cantabria;Entre 10 y 19 unidades;35,38
Ambos sexos;Total;Cantabria;20 o más unidades;43,40
Ambos sexos;Total;Castilla y León;Total;100,00
Ambos sexos;Total;Castilla y León;Entre 01 y 09 unidades;32,95
Ambos sexos;Total;Castilla y León;Entre 10 y 19 unidades;37,38
Ambos sexos;Total;Castilla y León;20 o más unidades;29,67
Ambos sexos;Total;Castilla-La Mancha;Total;100,00
Ambos sexos;Total;Castilla-La Mancha;Entre 01 y 09 unidades;23,70
Ambos sexos;Total;Castilla-La Mancha;Entre 10 y 19 unidades;34,13
Ambos sexos;Total;Castilla-La Mancha;20 o más unidades;42,17
Ambos sexos;Total;Cataluña;Total;100,00
Ambos sexos;Total;Cataluña;Entre 01 y 09 unidades;29,64
Ambos sexos;Total;Cataluña;Entre 10 y 19 unidades;32,80
Ambos sexos;Total;Cataluña;20 o más unidades;37,56
Ambos sexos;Total;Comunitat Valenciana;Total;100,00
Ambos sexos;Total;Comunitat Valenciana;Entre 01 y 09 unidades;27,97
Ambos sexos;Total;Comunitat Valenciana;Entre 10 y 19 unidades;29,81
Ambos sexos;Total;Comunitat Valenciana;20 o más unidades;42,21
Ambos sexos;Total;Extremadura;Total;100,00
Ambos sexos;Total;Extremadura;Entre 01 y 09 unidades;24,35
Ambos sexos;Total;Extremadura;Entre 10 y 19 unidades;30,51
Ambos sexos;Total;Extremadura;20 o más unidades;45,13
Ambos sexos;Total;Galicia;Total;100,00
Ambos sexos;Total;Galicia;Entre 01 y 09 unidades;26,03
Ambos sexos;Total;Galicia;Entre 10 y 19 unidades;29,65
Ambos sexos;Total;Galicia;20 o más unidades;44,31
Ambos sexos;Total;Madrid (Comunidad de);Total;100,00
Ambos sexos;Total;Madrid (Comunidad de);Entre 01 y 09 unidades;28,98
Ambos sexos;Total;Madrid (Comunidad de);Entre 10 y 19 unidades;36,39
Ambos sexos;Total;Madrid (Comunidad de);20 o más unidades;34,63
Ambos sexos;Total;Murcia (Región de);Total;100,00
Ambos sexos;Total;Murcia (Región de);Entre 01 y 09 unidades;27,44
Ambos sexos;Total;Murcia (Región de);Entre 10 y 19 unidades;36,08
Ambos sexos;Total;Murcia (Región de);20 o más unidades;36,47
Ambos sexos;Total;Navarra (Comunidad Foral de);Total;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Entre 01 y 09 unidades;35,66
Ambos sexos;Total;Navarra (Comunidad Foral de);Entre 10 y 19 unidades;33,33
Ambos sexos;Total;Navarra (Comunidad Foral de);20 o más unidades;31,01
Ambos sexos;Total;País Vasco;Total;100,00
Ambos sexos;Total;País Vasco;Entre 01 y 09 unidades;32,07
Ambos sexos;Total;País Vasco;Entre 10 y 19 unidades;33,39
Ambos sexos;Total;País Vasco;20 o más unidades;34,54
Ambos sexos;Total;Rioja (La);Total;100,00
Ambos sexos;Total;Rioja (La);Entre 01 y 09 unidades;31,70
Ambos sexos;Total;Rioja (La);Entre 10 y 19 unidades;27,09
Ambos sexos;Total;Rioja (La);20 o más unidades;41,21
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Entre 01 y 09 unidades;16,19
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Entre 10 y 19 unidades;46,82
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);20 o más unidades;37,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Total;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Entre 01 y 09 unidades;25,43
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Entre 10 y 19 unidades;26,36
Ambos sexos;Total;Melilla (Ciudad Autónoma de);20 o más unidades;48,21
Hombres;Total;;Total;100,00
Hombres;Total;;Entre 01 y 09 unidades;21,32
Hombres;Total;;Entre 10 y 19 unidades;31,58
Hombres;Total;;20 o más unidades;47,09
Hombres;Total;Andalucía;Total;100,00
Hombres;Total;Andalucía;Entre 01 y 09 unidades;18,86
Hombres;Total;Andalucía;Entre 10 y 19 unidades;29,43
Hombres;Total;Andalucía;20 o más unidades;51,71
Hombres;Total;Aragón;Total;100,00
Hombres;Total;Aragón;Entre 01 y 09 unidades;20,21
Hombres;Total;Aragón;Entre 10 y 19 unidades;21,44
Hombres;Total;Aragón;20 o más unidades;58,35
Hombres;Total;Asturias (Principado de);Total;100,00
Hombres;Total;Asturias (Principado de);Entre 01 y 09 unidades;22,64
Hombres;Total;Asturias (Principado de);Entre 10 y 19 unidades;31,13
Hombres;Total;Asturias (Principado de);20 o más unidades;46,23
Hombres;Total;Balears (Illes);Total;100,00
Hombres;Total;Balears (Illes);Entre 01 y 09 unidades;26,05
Hombres;Total;Balears (Illes);Entre 10 y 19 unidades;32,44
Hombres;Total;Balears (Illes);20 o más unidades;41,51
Hombres;Total;Canarias;Total;100,00
Hombres;Total;Canarias;Entre 01 y 09 unidades;14,90
Hombres;Total;Canarias;Entre 10 y 19 unidades;34,08
Hombres;Total;Canarias;20 o más unidades;51,02
Hombres;Total;Cantabria;Total;100,00
Hombres;Total;Cantabria;Entre 01 y 09 unidades;19,66
Hombres;Total;Cantabria;Entre 10 y 19 unidades;35,33
Hombres;Total;Cantabria;20 o más unidades;45,00
Hombres;Total;Castilla y León;Total;100,00
Hombres;Total;Castilla y León;Entre 01 y 09 unidades;26,54
Hombres;Total;Castilla y León;Entre 10 y 19 unidades;36,42
Hombres;Total;Castilla y León;20 o más unidades;37,04
Hombres;Total;Castilla-La Mancha;Total;100,00
Hombres;Total;Castilla-La Mancha;Entre 01 y 09 unidades;16,36
Hombres;Total;Castilla-La Mancha;Entre 10 y 19 unidades;29,04
Hombres;Total;Castilla-La Mancha;20 o más unidades;54,59
Hombres;Total;Cataluña;Total;100,00
Hombres;Total;Cataluña;Entre 01 y 09 unidades;21,22
Hombres;Total;Cataluña;Entre 10 y 19 unidades;34,50
Hombres;Total;Cataluña;20 o más unidades;44,28
Hombres;Total;Comunitat Valenciana;Total;100,00
Hombres;Total;Comunitat Valenciana;Entre 01 y 09 unidades;24,07
Hombres;Total;Comunitat Valenciana;Entre 10 y 19 unidades;27,60
Hombres;Total;Comunitat Valenciana;20 o más unidades;48,33
Hombres;Total;Extremadura;Total;100,00
Hombres;Total;Extremadura;Entre 01 y 09 unidades;15,56
Hombres;Total;Extremadura;Entre 10 y 19 unidades;30,28
Hombres;Total;Extremadura;20 o más unidades;54,16
Hombres;Total;Galicia;Total;100,00
Hombres;Total;Galicia;Entre 01 y 09 unidades;19,45
Hombres;Total;Galicia;Entre 10 y 19 unidades;21,06
Hombres;Total;Galicia;20 o más unidades;59,49
Hombres;Total;Madrid (Comunidad de);Total;100,00
Hombres;Total;Madrid (Comunidad de);Entre 01 y 09 unidades;22,94
Hombres;Total;Madrid (Comunidad de);Entre 10 y 19 unidades;35,40
Hombres;Total;Madrid (Comunidad de);20 o más unidades;41,65
Hombres;Total;Murcia (Región de);Total;100,00
Hombres;Total;Murcia (Región de);Entre 01 y 09 unidades;20,03
Hombres;Total;Murcia (Región de);Entre 10 y 19 unidades;41,63
Hombres;Total;Murcia (Región de);20 o más unidades;38,34
Hombres;Total;Navarra (Comunidad Foral de);Total;100,00
Hombres;Total;Navarra (Comunidad Foral de);Entre 01 y 09 unidades;29,25
Hombres;Total;Navarra (Comunidad Foral de);Entre 10 y 19 unidades;29,17
Hombres;Total;Navarra (Comunidad Foral de);20 o más unidades;41,58
Hombres;Total;País Vasco;Total;100,00
Hombres;Total;País Vasco;Entre 01 y 09 unidades;26,08
Hombres;Total;País Vasco;Entre 10 y 19 unidades;37,61
Hombres;Total;País Vasco;20 o más unidades;36,32
Hombres;Total;Rioja (La);Total;100,00
Hombres;Total;Rioja (La);Entre 01 y 09 unidades;24,36
Hombres;Total;Rioja (La);Entre 10 y 19 unidades;24,64
Hombres;Total;Rioja (La);20 o más unidades;50,99
Hombres;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Entre 01 y 09 unidades;19,64
Hombres;Total;Ceuta (Ciudad Autónoma de);Entre 10 y 19 unidades;42,45
Hombres;Total;Ceuta (Ciudad Autónoma de);20 o más unidades;37,91
Hombres;Total;Melilla (Ciudad Autónoma de);Total;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Entre 01 y 09 unidades;17,54
Hombres;Total;Melilla (Ciudad Autónoma de);Entre 10 y 19 unidades;31,03
Hombres;Total;Melilla (Ciudad Autónoma de);20 o más unidades;51,44
Mujeres;Total;;Total;100,00
Mujeres;Total;;Entre 01 y 09 unidades;34,92
Mujeres;Total;;Entre 10 y 19 unidades;36,71
Mujeres;Total;;20 o más unidades;28,37
Mujeres;Total;Andalucía;Total;100,00
Mujeres;Total;Andalucía;Entre 01 y 09 unidades;27,96
Mujeres;Total;Andalucía;Entre 10 y 19 unidades;42,52
Mujeres;Total;Andalucía;20 o más unidades;29,52
Mujeres;Total;Aragón;Total;100,00
Mujeres;Total;Aragón;Entre 01 y 09 unidades;34,85
Mujeres;Total;Aragón;Entre 10 y 19 unidades;39,01
Mujeres;Total;Aragón;20 o más unidades;26,14
Mujeres;Total;Asturias (Principado de);Total;100,00
Mujeres;Total;Asturias (Principado de);Entre 01 y 09 unidades;31,48
Mujeres;Total;Asturias (Principado de);Entre 10 y 19 unidades;36,38
Mujeres;Total;Asturias (Principado de);20 o más unidades;32,14
Mujeres;Total;Balears (Illes);Total;100,00
Mujeres;Total;Balears (Illes);Entre 01 y 09 unidades;42,91
Mujeres;Total;Balears (Illes);Entre 10 y 19 unidades;33,92
Mujeres;Total;Balears (Illes);20 o más unidades;23,17
Mujeres;Total;Canarias;Total;100,00
Mujeres;Total;Canarias;Entre 01 y 09 unidades;26,56
Mujeres;Total;Canarias;Entre 10 y 19 unidades;42,39
Mujeres;Total;Canarias;20 o más unidades;31,05
Mujeres;Total;Cantabria;Total;100,00
Mujeres;Total;Cantabria;Entre 01 y 09 unidades;23,33
Mujeres;Total;Cantabria;Entre 10 y 19 unidades;35,44
Mujeres;Total;Cantabria;20 o más unidades;41,23
Mujeres;Total;Castilla y León;Total;100,00
Mujeres;Total;Castilla y León;Entre 01 y 09 unidades;42,19
Mujeres;Total;Castilla y León;Entre 10 y 19 unidades;38,77
Mujeres;Total;Castilla y León;20 o más unidades;19,04
Mujeres;Total;Castilla-La Mancha;Total;100,00
Mujeres;Total;Castilla-La Mancha;Entre 01 y 09 unidades;32,83
Mujeres;Total;Castilla-La Mancha;Entre 10 y 19 unidades;40,45
Mujeres;Total;Castilla-La Mancha;20 o más unidades;26,72
Mujeres;Total;Cataluña;Total;100,00
Mujeres;Total;Cataluña;Entre 01 y 09 unidades;42,75
Mujeres;Total;Cataluña;Entre 10 y 19 unidades;30,15
Mujeres;Total;Cataluña;20 o más unidades;27,10
Mujeres;Total;Comunitat Valenciana;Total;100,00
Mujeres;Total;Comunitat Valenciana;Entre 01 y 09 unidades;33,65
Mujeres;Total;Comunitat Valenciana;Entre 10 y 19 unidades;33,03
Mujeres;Total;Comunitat Valenciana;20 o más unidades;33,32
Mujeres;Total;Extremadura;Total;100,00
Mujeres;Total;Extremadura;Entre 01 y 09 unidades;37,76
Mujeres;Total;Extremadura;Entre 10 y 19 unidades;30,87
Mujeres;Total;Extremadura;20 o más unidades;31,37
Mujeres;Total;Galicia;Total;100,00
Mujeres;Total;Galicia;Entre 01 y 09 unidades;34,93
Mujeres;Total;Galicia;Entre 10 y 19 unidades;41,26
Mujeres;Total;Galicia;20 o más unidades;23,81
Mujeres;Total;Madrid (Comunidad de);Total;100,00
Mujeres;Total;Madrid (Comunidad de);Entre 01 y 09 unidades;35,81
Mujeres;Total;Madrid (Comunidad de);Entre 10 y 19 unidades;37,52
Mujeres;Total;Madrid (Comunidad de);20 o más unidades;26,68
Mujeres;Total;Murcia (Región de);Total;100,00
Mujeres;Total;Murcia (Región de);Entre 01 y 09 unidades;38,65
Mujeres;Total;Murcia (Región de);Entre 10 y 19 unidades;27,70
Mujeres;Total;Murcia (Región de);20 o más unidades;33,65
Mujeres;Total;Navarra (Comunidad Foral de);Total;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Entre 01 y 09 unidades;43,75
Mujeres;Total;Navarra (Comunidad Foral de);Entre 10 y 19 unidades;38,57
Mujeres;Total;Navarra (Comunidad Foral de);20 o más unidades;17,68
Mujeres;Total;País Vasco;Total;100,00
Mujeres;Total;País Vasco;Entre 01 y 09 unidades;39,23
Mujeres;Total;País Vasco;Entre 10 y 19 unidades;28,35
Mujeres;Total;País Vasco;20 o más unidades;32,42
Mujeres;Total;Rioja (La);Total;100,00
Mujeres;Total;Rioja (La);Entre 01 y 09 unidades;40,73
Mujeres;Total;Rioja (La);Entre 10 y 19 unidades;30,10
Mujeres;Total;Rioja (La);20 o más unidades;29,16
Mujeres;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Entre 01 y 09 unidades;10,74
Mujeres;Total;Ceuta (Ciudad Autónoma de);Entre 10 y 19 unidades;53,72
Mujeres;Total;Ceuta (Ciudad Autónoma de);20 o más unidades;35,55
Mujeres;Total;Melilla (Ciudad Autónoma de);Total;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Entre 01 y 09 unidades;37,83
Mujeres;Total;Melilla (Ciudad Autónoma de);Entre 10 y 19 unidades;19,04
Mujeres;Total;Melilla (Ciudad Autónoma de);20 o más unidades;43,13
