Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Número de cagarrillos;Total
Ambos sexos;Total;;TOTAL;100,00
Ambos sexos;Total;;Entre 01 y 09 cigarrillos;32,28
Ambos sexos;Total;;Entre 10 y 19 cigarrillos;36,98
Ambos sexos;Total;;20 o más cigarrillos;30,73
Ambos sexos;Total;Andalucía;TOTAL;100,00
Ambos sexos;Total;Andalucía;Entre 01 y 09 cigarrillos;30,00
Ambos sexos;Total;Andalucía;Entre 10 y 19 cigarrillos;34,94
Ambos sexos;Total;Andalucía;20 o más cigarrillos;35,06
Ambos sexos;Total;Aragón;TOTAL;100,00
Ambos sexos;Total;Aragón;Entre 01 y 09 cigarrillos;37,91
Ambos sexos;Total;Aragón;Entre 10 y 19 cigarrillos;33,09
Ambos sexos;Total;Aragón;20 o más cigarrillos;28,99
Ambos sexos;Total;Asturias (Principado de);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Entre 01 y 09 cigarrillos;23,39
Ambos sexos;Total;Asturias (Principado de);Entre 10 y 19 cigarrillos;40,36
Ambos sexos;Total;Asturias (Principado de);20 o más cigarrillos;36,24
Ambos sexos;Total;Balears (Illes);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Entre 01 y 09 cigarrillos;34,56
Ambos sexos;Total;Balears (Illes);Entre 10 y 19 cigarrillos;38,70
Ambos sexos;Total;Balears (Illes);20 o más cigarrillos;26,74
Ambos sexos;Total;Canarias;TOTAL;100,00
Ambos sexos;Total;Canarias;Entre 01 y 09 cigarrillos;26,07
Ambos sexos;Total;Canarias;Entre 10 y 19 cigarrillos;36,20
Ambos sexos;Total;Canarias;20 o más cigarrillos;37,72
Ambos sexos;Total;Cantabria;TOTAL;100,00
Ambos sexos;Total;Cantabria;Entre 01 y 09 cigarrillos;35,07
Ambos sexos;Total;Cantabria;Entre 10 y 19 cigarrillos;36,77
Ambos sexos;Total;Cantabria;20 o más cigarrillos;28,17
Ambos sexos;Total;Castilla y León;TOTAL;100,00
Ambos sexos;Total;Castilla y León;Entre 01 y 09 cigarrillos;36,46
Ambos sexos;Total;Castilla y León;Entre 10 y 19 cigarrillos;37,14
Ambos sexos;Total;Castilla y León;20 o más cigarrillos;26,39
Ambos sexos;Total;Castilla-La Mancha;TOTAL;100,00
Ambos sexos;Total;Castilla-La Mancha;Entre 01 y 09 cigarrillos;29,89
Ambos sexos;Total;Castilla-La Mancha;Entre 10 y 19 cigarrillos;43,77
Ambos sexos;Total;Castilla-La Mancha;20 o más cigarrillos;26,34
Ambos sexos;Total;Cataluña;TOTAL;100,00
Ambos sexos;Total;Cataluña;Entre 01 y 09 cigarrillos;35,31
Ambos sexos;Total;Cataluña;Entre 10 y 19 cigarrillos;35,22
Ambos sexos;Total;Cataluña;20 o más cigarrillos;29,47
Ambos sexos;Total;Comunitat Valenciana;TOTAL;100,00
Ambos sexos;Total;Comunitat Valenciana;Entre 01 y 09 cigarrillos;27,42
Ambos sexos;Total;Comunitat Valenciana;Entre 10 y 19 cigarrillos;42,51
Ambos sexos;Total;Comunitat Valenciana;20 o más cigarrillos;30,06
Ambos sexos;Total;Extremadura;TOTAL;100,00
Ambos sexos;Total;Extremadura;Entre 01 y 09 cigarrillos;34,21
Ambos sexos;Total;Extremadura;Entre 10 y 19 cigarrillos;33,60
Ambos sexos;Total;Extremadura;20 o más cigarrillos;32,19
Ambos sexos;Total;Galicia;TOTAL;100,00
Ambos sexos;Total;Galicia;Entre 01 y 09 cigarrillos;32,79
Ambos sexos;Total;Galicia;Entre 10 y 19 cigarrillos;35,55
Ambos sexos;Total;Galicia;20 o más cigarrillos;31,66
Ambos sexos;Total;Madrid (Comunidad de);TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Entre 01 y 09 cigarrillos;33,22
Ambos sexos;Total;Madrid (Comunidad de);Entre 10 y 19 cigarrillos;35,91
Ambos sexos;Total;Madrid (Comunidad de);20 o más cigarrillos;30,87
Ambos sexos;Total;Murcia (Región de);TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Entre 01 y 09 cigarrillos;33,57
Ambos sexos;Total;Murcia (Región de);Entre 10 y 19 cigarrillos;37,97
Ambos sexos;Total;Murcia (Región de);20 o más cigarrillos;28,46
Ambos sexos;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Entre 01 y 09 cigarrillos;38,60
Ambos sexos;Total;Navarra (Comunidad Foral de);Entre 10 y 19 cigarrillos;33,52
Ambos sexos;Total;Navarra (Comunidad Foral de);20 o más cigarrillos;27,88
Ambos sexos;Total;País Vasco;TOTAL;100,00
Ambos sexos;Total;País Vasco;Entre 01 y 09 cigarrillos;37,20
Ambos sexos;Total;País Vasco;Entre 10 y 19 cigarrillos;40,59
Ambos sexos;Total;País Vasco;20 o más cigarrillos;22,22
Ambos sexos;Total;Rioja (La);TOTAL;100,00
Ambos sexos;Total;Rioja (La);Entre 01 y 09 cigarrillos;36,48
Ambos sexos;Total;Rioja (La);Entre 10 y 19 cigarrillos;37,62
Ambos sexos;Total;Rioja (La);20 o más cigarrillos;25,90
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;22,64
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;36,27
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);20 o más cigarrillos;41,09
Ambos sexos;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;29,99
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;34,11
Ambos sexos;Total;Melilla (Ciudad Autónoma de);20 o más cigarrillos;35,90
Hombres;Total;;TOTAL;100,00
Hombres;Total;;Entre 01 y 09 cigarrillos;28,25
Hombres;Total;;Entre 10 y 19 cigarrillos;36,14
Hombres;Total;;20 o más cigarrillos;35,62
Hombres;Total;Andalucía;TOTAL;100,00
Hombres;Total;Andalucía;Entre 01 y 09 cigarrillos;23,98
Hombres;Total;Andalucía;Entre 10 y 19 cigarrillos;33,29
Hombres;Total;Andalucía;20 o más cigarrillos;42,74
Hombres;Total;Aragón;TOTAL;100,00
Hombres;Total;Aragón;Entre 01 y 09 cigarrillos;34,80
Hombres;Total;Aragón;Entre 10 y 19 cigarrillos;27,17
Hombres;Total;Aragón;20 o más cigarrillos;38,03
Hombres;Total;Asturias (Principado de);TOTAL;100,00
Hombres;Total;Asturias (Principado de);Entre 01 y 09 cigarrillos;18,26
Hombres;Total;Asturias (Principado de);Entre 10 y 19 cigarrillos;39,02
Hombres;Total;Asturias (Principado de);20 o más cigarrillos;42,72
Hombres;Total;Balears (Illes);TOTAL;100,00
Hombres;Total;Balears (Illes);Entre 01 y 09 cigarrillos;29,34
Hombres;Total;Balears (Illes);Entre 10 y 19 cigarrillos;35,41
Hombres;Total;Balears (Illes);20 o más cigarrillos;35,25
Hombres;Total;Canarias;TOTAL;100,00
Hombres;Total;Canarias;Entre 01 y 09 cigarrillos;23,69
Hombres;Total;Canarias;Entre 10 y 19 cigarrillos;38,84
Hombres;Total;Canarias;20 o más cigarrillos;37,47
Hombres;Total;Cantabria;TOTAL;100,00
Hombres;Total;Cantabria;Entre 01 y 09 cigarrillos;29,03
Hombres;Total;Cantabria;Entre 10 y 19 cigarrillos;42,80
Hombres;Total;Cantabria;20 o más cigarrillos;28,17
Hombres;Total;Castilla y León;TOTAL;100,00
Hombres;Total;Castilla y León;Entre 01 y 09 cigarrillos;31,41
Hombres;Total;Castilla y León;Entre 10 y 19 cigarrillos;38,46
Hombres;Total;Castilla y León;20 o más cigarrillos;30,13
Hombres;Total;Castilla-La Mancha;TOTAL;100,00
Hombres;Total;Castilla-La Mancha;Entre 01 y 09 cigarrillos;23,80
Hombres;Total;Castilla-La Mancha;Entre 10 y 19 cigarrillos;42,59
Hombres;Total;Castilla-La Mancha;20 o más cigarrillos;33,61
Hombres;Total;Cataluña;TOTAL;100,00
Hombres;Total;Cataluña;Entre 01 y 09 cigarrillos;29,82
Hombres;Total;Cataluña;Entre 10 y 19 cigarrillos;37,81
Hombres;Total;Cataluña;20 o más cigarrillos;32,37
Hombres;Total;Comunitat Valenciana;TOTAL;100,00
Hombres;Total;Comunitat Valenciana;Entre 01 y 09 cigarrillos;27,24
Hombres;Total;Comunitat Valenciana;Entre 10 y 19 cigarrillos;40,64
Hombres;Total;Comunitat Valenciana;20 o más cigarrillos;32,12
Hombres;Total;Extremadura;TOTAL;100,00
Hombres;Total;Extremadura;Entre 01 y 09 cigarrillos;31,33
Hombres;Total;Extremadura;Entre 10 y 19 cigarrillos;28,80
Hombres;Total;Extremadura;20 o más cigarrillos;39,87
Hombres;Total;Galicia;TOTAL;100,00
Hombres;Total;Galicia;Entre 01 y 09 cigarrillos;30,99
Hombres;Total;Galicia;Entre 10 y 19 cigarrillos;32,34
Hombres;Total;Galicia;20 o más cigarrillos;36,67
Hombres;Total;Madrid (Comunidad de);TOTAL;100,00
Hombres;Total;Madrid (Comunidad de);Entre 01 y 09 cigarrillos;30,51
Hombres;Total;Madrid (Comunidad de);Entre 10 y 19 cigarrillos;32,28
Hombres;Total;Madrid (Comunidad de);20 o más cigarrillos;37,21
Hombres;Total;Murcia (Región de);TOTAL;100,00
Hombres;Total;Murcia (Región de);Entre 01 y 09 cigarrillos;28,60
Hombres;Total;Murcia (Región de);Entre 10 y 19 cigarrillos;37,74
Hombres;Total;Murcia (Región de);20 o más cigarrillos;33,66
Hombres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Hombres;Total;Navarra (Comunidad Foral de);Entre 01 y 09 cigarrillos;29,61
Hombres;Total;Navarra (Comunidad Foral de);Entre 10 y 19 cigarrillos;35,88
Hombres;Total;Navarra (Comunidad Foral de);20 o más cigarrillos;34,50
Hombres;Total;País Vasco;TOTAL;100,00
Hombres;Total;País Vasco;Entre 01 y 09 cigarrillos;36,88
Hombres;Total;País Vasco;Entre 10 y 19 cigarrillos;41,15
Hombres;Total;País Vasco;20 o más cigarrillos;21,97
Hombres;Total;Rioja (La);TOTAL;100,00
Hombres;Total;Rioja (La);Entre 01 y 09 cigarrillos;28,79
Hombres;Total;Rioja (La);Entre 10 y 19 cigarrillos;39,66
Hombres;Total;Rioja (La);20 o más cigarrillos;31,55
Hombres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;.
Hombres;Total;Ceuta (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;.
Hombres;Total;Ceuta (Ciudad Autónoma de);20 o más cigarrillos;.
Hombres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;.
Hombres;Total;Melilla (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;.
Hombres;Total;Melilla (Ciudad Autónoma de);20 o más cigarrillos;.
Mujeres;Total;;TOTAL;100,00
Mujeres;Total;;Entre 01 y 09 cigarrillos;37,72
Mujeres;Total;;Entre 10 y 19 cigarrillos;38,13
Mujeres;Total;;20 o más cigarrillos;24,15
Mujeres;Total;Andalucía;TOTAL;100,00
Mujeres;Total;Andalucía;Entre 01 y 09 cigarrillos;38,22
Mujeres;Total;Andalucía;Entre 10 y 19 cigarrillos;37,20
Mujeres;Total;Andalucía;20 o más cigarrillos;24,59
Mujeres;Total;Aragón;TOTAL;100,00
Mujeres;Total;Aragón;Entre 01 y 09 cigarrillos;41,68
Mujeres;Total;Aragón;Entre 10 y 19 cigarrillos;40,24
Mujeres;Total;Aragón;20 o más cigarrillos;18,08
Mujeres;Total;Asturias (Principado de);TOTAL;100,00
Mujeres;Total;Asturias (Principado de);Entre 01 y 09 cigarrillos;29,66
Mujeres;Total;Asturias (Principado de);Entre 10 y 19 cigarrillos;42,01
Mujeres;Total;Asturias (Principado de);20 o más cigarrillos;28,33
Mujeres;Total;Balears (Illes);TOTAL;100,00
Mujeres;Total;Balears (Illes);Entre 01 y 09 cigarrillos;42,80
Mujeres;Total;Balears (Illes);Entre 10 y 19 cigarrillos;43,91
Mujeres;Total;Balears (Illes);20 o más cigarrillos;13,28
Mujeres;Total;Canarias;TOTAL;100,00
Mujeres;Total;Canarias;Entre 01 y 09 cigarrillos;30,20
Mujeres;Total;Canarias;Entre 10 y 19 cigarrillos;31,64
Mujeres;Total;Canarias;20 o más cigarrillos;38,17
Mujeres;Total;Cantabria;TOTAL;100,00
Mujeres;Total;Cantabria;Entre 01 y 09 cigarrillos;42,67
Mujeres;Total;Cantabria;Entre 10 y 19 cigarrillos;29,17
Mujeres;Total;Cantabria;20 o más cigarrillos;28,17
Mujeres;Total;Castilla y León;TOTAL;100,00
Mujeres;Total;Castilla y León;Entre 01 y 09 cigarrillos;43,16
Mujeres;Total;Castilla y León;Entre 10 y 19 cigarrillos;35,40
Mujeres;Total;Castilla y León;20 o más cigarrillos;21,44
Mujeres;Total;Castilla-La Mancha;TOTAL;100,00
Mujeres;Total;Castilla-La Mancha;Entre 01 y 09 cigarrillos;38,96
Mujeres;Total;Castilla-La Mancha;Entre 10 y 19 cigarrillos;45,52
Mujeres;Total;Castilla-La Mancha;20 o más cigarrillos;15,52
Mujeres;Total;Cataluña;TOTAL;100,00
Mujeres;Total;Cataluña;Entre 01 y 09 cigarrillos;43,49
Mujeres;Total;Cataluña;Entre 10 y 19 cigarrillos;31,36
Mujeres;Total;Cataluña;20 o más cigarrillos;25,15
Mujeres;Total;Comunitat Valenciana;TOTAL;100,00
Mujeres;Total;Comunitat Valenciana;Entre 01 y 09 cigarrillos;27,68
Mujeres;Total;Comunitat Valenciana;Entre 10 y 19 cigarrillos;45,06
Mujeres;Total;Comunitat Valenciana;20 o más cigarrillos;27,27
Mujeres;Total;Extremadura;TOTAL;100,00
Mujeres;Total;Extremadura;Entre 01 y 09 cigarrillos;38,70
Mujeres;Total;Extremadura;Entre 10 y 19 cigarrillos;41,11
Mujeres;Total;Extremadura;20 o más cigarrillos;20,19
Mujeres;Total;Galicia;TOTAL;100,00
Mujeres;Total;Galicia;Entre 01 y 09 cigarrillos;35,28
Mujeres;Total;Galicia;Entre 10 y 19 cigarrillos;39,99
Mujeres;Total;Galicia;20 o más cigarrillos;24,73
Mujeres;Total;Madrid (Comunidad de);TOTAL;100,00
Mujeres;Total;Madrid (Comunidad de);Entre 01 y 09 cigarrillos;36,15
Mujeres;Total;Madrid (Comunidad de);Entre 10 y 19 cigarrillos;39,81
Mujeres;Total;Madrid (Comunidad de);20 o más cigarrillos;24,04
Mujeres;Total;Murcia (Región de);TOTAL;100,00
Mujeres;Total;Murcia (Región de);Entre 01 y 09 cigarrillos;39,26
Mujeres;Total;Murcia (Región de);Entre 10 y 19 cigarrillos;38,24
Mujeres;Total;Murcia (Región de);20 o más cigarrillos;22,50
Mujeres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Entre 01 y 09 cigarrillos;50,73
Mujeres;Total;Navarra (Comunidad Foral de);Entre 10 y 19 cigarrillos;30,33
Mujeres;Total;Navarra (Comunidad Foral de);20 o más cigarrillos;18,94
Mujeres;Total;País Vasco;TOTAL;100,00
Mujeres;Total;País Vasco;Entre 01 y 09 cigarrillos;37,63
Mujeres;Total;País Vasco;Entre 10 y 19 cigarrillos;39,81
Mujeres;Total;País Vasco;20 o más cigarrillos;22,56
Mujeres;Total;Rioja (La);TOTAL;100,00
Mujeres;Total;Rioja (La);Entre 01 y 09 cigarrillos;46,09
Mujeres;Total;Rioja (La);Entre 10 y 19 cigarrillos;35,08
Mujeres;Total;Rioja (La);20 o más cigarrillos;18,83
Mujeres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;.
Mujeres;Total;Ceuta (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;.
Mujeres;Total;Ceuta (Ciudad Autónoma de);20 o más cigarrillos;.
Mujeres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;.
Mujeres;Total;Melilla (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;.
Mujeres;Total;Melilla (Ciudad Autónoma de);20 o más cigarrillos;.
